Class,Red,Green,Blue
Vegetation,64,67,50
Vegetation,64,67,50
Vegetation,64,66,49
Vegetation,75,82,53
Vegetation,74,82,54
Vegetation,72,76,52
Vegetation,71,72,51
Vegetation,69,70,49
Vegetation,68,70,49
Vegetation,67,70,50
Vegetation,66,69,50
Vegetation,64,67,50
Vegetation,62,66,50
Vegetation,82,85,55
Vegetation,82,83,54
Vegetation,79,80,53
Vegetation,77,79,53
Vegetation,74,80,53
Vegetation,73,80,54
Vegetation,73,79,54
Vegetation,73,75,53
Vegetation,73,74,52
Vegetation,71,75,51
Vegetation,70,74,50
Vegetation,69,73,50
Vegetation,67,70,51
Vegetation,64,68,50
Vegetation,61,65,49
Vegetation,69,67,51
Vegetation,71,75,52
Vegetation,74,81,52
Vegetation,77,84,53
Vegetation,78,85,55
Vegetation,79,85,56
Vegetation,80,82,54
Vegetation,80,79,53
Vegetation,77,76,52
Vegetation,74,75,52
Vegetation,71,76,53
Vegetation,72,77,54
Vegetation,73,77,54
Vegetation,74,76,53
Vegetation,75,77,52
Vegetation,74,80,51
Vegetation,72,78,51
Vegetation,71,74,51
Vegetation,68,71,50
Vegetation,64,68,50
Vegetation,60,65,49
Vegetation,66,68,50
Vegetation,66,68,50
Vegetation,65,66,50
Vegetation,66,65,49
Vegetation,67,63,49
Vegetation,67,66,50
Vegetation,68,69,51
Vegetation,71,76,51
Vegetation,73,81,52
Vegetation,75,82,53
Vegetation,76,83,54
Vegetation,76,84,56
Vegetation,77,80,54
Vegetation,77,76,52
Vegetation,74,72,50
Vegetation,71,71,51
Vegetation,69,73,52
Vegetation,70,74,54
Vegetation,72,75,55
Vegetation,74,75,54
Vegetation,75,77,53
Vegetation,73,80,52
Vegetation,72,78,51
Vegetation,70,75,51
Vegetation,67,71,50
Vegetation,65,66,50
Vegetation,61,61,49
Vegetation,62,62,49
Vegetation,60,65,49
Vegetation,62,68,49
Vegetation,63,71,50
Vegetation,65,71,50
Vegetation,66,69,50
Vegetation,66,69,50
Vegetation,67,68,50
Vegetation,67,66,50
Vegetation,67,65,50
Vegetation,67,65,50
Vegetation,68,66,50
Vegetation,68,67,50
Vegetation,70,73,51
Vegetation,72,77,51
Vegetation,75,79,53
Vegetation,75,80,54
Vegetation,75,81,56
Vegetation,76,76,53
Vegetation,75,72,51
Vegetation,72,70,49
Vegetation,70,69,50
Vegetation,67,69,52
Vegetation,69,72,54
Vegetation,71,74,56
Vegetation,73,74,55
Vegetation,74,75,54
Vegetation,72,77,53
Vegetation,70,77,52
Vegetation,68,75,51
Vegetation,67,70,50
Vegetation,65,63,49
Vegetation,64,58,49
Vegetation,65,61,49
Vegetation,56,56,46
Vegetation,55,56,48
Vegetation,55,56,49
Vegetation,54,55,49
Vegetation,56,58,49
Vegetation,58,62,49
Vegetation,60,65,49
Vegetation,62,68,49
Vegetation,63,71,50
Vegetation,65,71,50
Vegetation,66,70,50
Vegetation,67,69,50
Vegetation,68,69,50
Vegetation,68,67,50
Vegetation,68,66,50
Vegetation,68,66,50
Vegetation,68,66,50
Vegetation,68,66,50
Vegetation,70,71,51
Vegetation,72,74,51
Vegetation,75,78,52
Vegetation,75,79,54
Vegetation,74,80,55
Vegetation,74,74,53
Vegetation,73,70,51
Vegetation,70,67,49
Vegetation,68,67,50
Vegetation,66,69,52
Vegetation,68,72,54
Vegetation,70,74,56
Vegetation,72,74,54
Vegetation,72,74,53
Vegetation,70,76,52
Vegetation,67,74,51
Vegetation,65,71,50
Vegetation,66,67,49
Vegetation,66,64,49
Vegetation,67,63,50
Vegetation,68,68,50
Vegetation,54,52,46
Vegetation,56,54,46
Vegetation,59,56,45
Vegetation,59,58,45
Vegetation,59,60,45
Vegetation,58,59,46
Vegetation,57,57,47
Vegetation,56,56,48
Vegetation,55,55,48
Vegetation,55,55,48
Vegetation,56,58,48
Vegetation,58,62,48
Vegetation,60,65,49
Vegetation,62,69,49
Vegetation,63,73,50
Vegetation,64,73,50
Vegetation,65,71,51
Vegetation,67,71,51
Vegetation,68,71,51
Vegetation,70,70,51
Vegetation,70,69,50
Vegetation,69,69,50
Vegetation,68,68,50
Vegetation,68,67,50
Vegetation,70,70,51
Vegetation,73,73,51
Vegetation,75,77,52
Vegetation,75,80,53
Vegetation,73,82,54
Vegetation,72,74,52
Vegetation,70,69,51
Vegetation,69,65,49
Vegetation,67,66,50
Vegetation,65,70,52
Vegetation,67,74,54
Vegetation,69,76,55
Vegetation,71,74,54
Vegetation,71,74,52
Vegetation,68,75,50
Vegetation,66,72,50
Vegetation,63,67,49
Vegetation,65,65,49
Vegetation,67,65,49
Vegetation,69,69,50
Vegetation,70,74,51
Vegetation,72,78,51
Vegetation,50,52,46
Vegetation,50,51,45
Vegetation,50,51,45
Vegetation,50,52,45
